slot_id,iou_status,center_status,match
sw_center_001,free,free,일치
sw_center_002,free,free,일치
sw_center_003,free,free,일치
sw_center_004,free,free,일치
sw_center_005,free,free,일치
sw_center_006,free,free,일치
sw_center_007,free,free,일치
sw_center_008,occupied,free,불일치
sw_center_009,occupied,occupied,일치
sw_center_010,free,free,일치
sw_center_011,free,free,일치
sw_center_012,free,free,일치
sw_center_013,free,free,일치
sw_center_014,free,free,일치
sw_center_015,free,free,일치
sw_center_016,free,free,일치
sw_center_017,occupied,free,불일치
sw_center_018,free,free,일치
sw_center_019,free,free,일치
sw_center_020,free,free,일치
sw_center_021,occupied,occupied,일치
sw_center_022,occupied,occupied,일치
sw_center_023,free,free,일치
sw_center_024,occupied,free,불일치
sw_center_025,free,free,일치
sw_center_026,occupied,occupied,일치
sw_center_027,free,free,일치
sw_center_028,occupied,occupied,일치
sw_center_029,occupied,occupied,일치
sw_center_030,occupied,free,불일치
sw_center_031,free,free,일치
sw_center_032,free,free,일치
sw_center_033,free,free,일치
sw_center_034,free,free,일치
sw_center_035,free,free,일치
sw_center_036,free,free,일치
sw_center_037,free,free,일치
sw_center_038,occupied,free,불일치
sw_center_039,occupied,free,불일치
sw_center_040,occupied,occupied,일치
sw_center_041,occupied,occupied,일치
sw_center_042,free,occupied,불일치
sw_center_043,occupied,occupied,일치
sw_center_044,occupied,occupied,일치
sw_center_045,free,occupied,불일치
sw_center_046,free,free,일치
sw_center_047,free,free,일치
sw_center_048,free,free,일치
sw_center_049,occupied,free,불일치
sw_center_050,occupied,occupied,일치
sw_center_051,free,free,일치
sw_center_052,free,free,일치
sw_center_053,occupied,occupied,일치
sw_center_054,occupied,occupied,일치
sw_center_055,occupied,free,불일치
sw_center_056,free,free,일치
sw_center_057,free,free,일치
sw_center_058,free,free,일치
sw_center_059,occupied,free,불일치
sw_center_060,occupied,occupied,일치
sw_center_061,free,free,일치
sw_center_062,free,occupied,불일치
sw_center_063,occupied,occupied,일치
sw_center_064,occupied,occupied,일치
sw_center_065,occupied,free,불일치
sw_center_066,occupied,occupied,일치
sw_center_067,occupied,occupied,일치
sw_center_068,free,occupied,불일치
sw_center_069,occupied,occupied,일치
sw_center_070,occupied,occupied,일치
sw_center_071,occupied,occupied,일치
sw_center_072,occupied,occupied,일치
sw_center_073,occupied,occupied,일치
sw_center_074,free,free,일치
sw_center_075,occupied,occupied,일치
sw_center_076,occupied,occupied,일치
sw_center_077,occupied,occupied,일치
sw_center_078,occupied,occupied,일치
sw_center_079,occupied,occupied,일치
sw_center_080,occupied,occupied,일치
sw_center_081,occupied,occupied,일치
sw_center_082,occupied,occupied,일치
sw_center_083,occupied,occupied,일치
sw_center_084,occupied,occupied,일치
sw_center_085,occupied,occupied,일치
sw_center_086,occupied,occupied,일치
sw_center_087,occupied,occupied,일치
sw_center_088,occupied,occupied,일치
sw_center_089,occupied,free,불일치
sw_center_090,free,free,일치
sw_center_091,free,free,일치
sw_center_092,occupied,free,불일치
sw_center_093,free,free,일치
sw_center_094,free,free,일치
sw_center_095,occupied,occupied,일치
sw_center_096,occupied,free,불일치
sw_center_097,occupied,free,불일치
