slot_id,status
sw_center_001,free
sw_center_002,free
sw_center_003,free
sw_center_004,free
sw_center_005,free
sw_center_006,free
sw_center_007,free
sw_center_008,occupied
sw_center_009,occupied
sw_center_010,free
sw_center_011,free
sw_center_012,free
sw_center_013,free
sw_center_014,free
sw_center_015,free
sw_center_016,free
sw_center_017,occupied
sw_center_018,free
sw_center_019,free
sw_center_020,free
sw_center_021,occupied
sw_center_022,occupied
sw_center_023,free
sw_center_024,occupied
sw_center_025,free
sw_center_026,occupied
sw_center_027,free
sw_center_028,occupied
sw_center_029,occupied
sw_center_030,occupied
sw_center_031,free
sw_center_032,free
sw_center_033,free
sw_center_034,free
sw_center_035,free
sw_center_036,free
sw_center_037,free
sw_center_038,occupied
sw_center_039,occupied
sw_center_040,occupied
sw_center_041,occupied
sw_center_042,free
sw_center_043,occupied
sw_center_044,occupied
sw_center_045,free
sw_center_046,free
sw_center_047,free
sw_center_048,free
sw_center_049,occupied
sw_center_050,occupied
sw_center_051,free
sw_center_052,free
sw_center_053,occupied
sw_center_054,occupied
sw_center_055,occupied
sw_center_056,free
sw_center_057,free
sw_center_058,free
sw_center_059,occupied
sw_center_060,occupied
sw_center_061,free
sw_center_062,free
sw_center_063,occupied
sw_center_064,occupied
sw_center_065,occupied
sw_center_066,occupied
sw_center_067,occupied
sw_center_068,free
sw_center_069,occupied
sw_center_070,occupied
sw_center_071,occupied
sw_center_072,occupied
sw_center_073,occupied
sw_center_074,free
sw_center_075,occupied
sw_center_076,occupied
sw_center_077,occupied
sw_center_078,occupied
sw_center_079,occupied
sw_center_080,occupied
sw_center_081,occupied
sw_center_082,occupied
sw_center_083,occupied
sw_center_084,occupied
sw_center_085,occupied
sw_center_086,occupied
sw_center_087,occupied
sw_center_088,occupied
sw_center_089,occupied
sw_center_090,free
sw_center_091,free
